user_id	item_id
102506116	119439995
103823974	37910916
104597596	46031989
105026093	276308875
106655468	60389288
107264414	274520757
107447408	328689347
107447408	403434589
107609597	6215144
10876284	368359382
108809234	278950351
109016093	398105124
109554732	349416845
109579014	134427531
109737327	150724185
11026029	88964509
110933884	231402044
110961790	276237060
110961790	355426498
111382789	261554871
112141018	31193281
112141018	33069267
112619968	95867699
113497295	311539041
113512469	150429306
113512469	61064707
11366706	314633261
114370733	222514477
115761083	64989800
11594934	144053049
11594934	55559718
11594934	55807645
116870501	262804639
116870501	274974240
116909354	254026670
117199100	165999446
117719673	307321872
118509390	309984252
118733970	134877587
120305341	156297357
120305341	95926279
120456085	390646067
121055447	234648388
121658987	240657308
121883405	271705542
122132057	303205878
122132057	317459368
122132057	401112094
12215373	380828034
123839396	173802353
123839396	339797425
12405354	362115843
124505525	234062280
124956647	307830817
12506484	287388185
125717270	282806842
126376929	189420933
126920490	137729000
126920490	308733158
127367034	347887357
129887427	319610421
131771456	403813216
131856122	58774133
132626507	281443615
132626507	286175221
132626507	57047804
134116374	167063158
13492065	280674759
134979525	338630082
135200142	283700887
135378246	218735110
135567210	147681344
135567210	198438891
135567210	28644360
135567210	56262444
135567210	78957582
135809553	188340393
136286592	190177818
136286592	222767568
136286592	305687250
136286592	341533485
136286592	356686046
136286592	377941675
136286592	382008047
136286592	51472776
137490870	320821185
137507730	329887367
137507730	358788976
137758701	304333357
137856687	359878214
138709606	386751326
138780010	401070714
138961180	98603220
139777963	395568949
140318987	341161365
141287867	296607838
141287867	94470453
141816551	385376939
15486736	269486522
1591612	353656592
17171257	223441580
17219776	128702084
17298160	268288171
17448412	374880559
17562880	389880109
17562880	392337274
17562880	66593498
17562880	89075900
18488008	163689973
18488008	268865942
18594472	85202142
18856090	377362284
18959614	108852248
19052485	343299064
19225913	70044282
20462589	49483732
20501826	344294537
20657253	74031488
2171674	259819305
22099113	182762077
22363890	198764610
22409616	358354121
23730268	362544821
24472810	366516190
24979429	167780112
25286173	160598516
25737649	17712290
26037919	70506159
26037919	83998781
26926537	262414625
27184045	173613973
27184045	2677699
27795908	8747111
28557548	165389853
28557548	58266975
28883723	260226898
30009492	196793876
31510981	97623200
317091	345845463
32079118	23362852
33635794	68289678
3408454	25509842
34085107	294614743
34178632	222480282
34178632	25460888
34178632	46610465
34178632	99180213
36067043	110046456
36090836	189286725
36422153	216744349
36871109	353477117
40528453	112501186
40528453	153924274
40528453	161696840
40528453	361357012
40528453	58187981
40528453	66985938
41085817	128247101
41319586	354098170
41686678	385753960
41855797	16009123
41901451	286961421
42096946	23893034
42096946	35946273
42096946	395074329
42793246	125634399
42793246	324456403
42793246	330687918
43205692	396171430
43302547	399257509
44142824	273532679
447828	206016051
4486844	190390494
4486844	243378067
4498439	74977824
45069500	230733243
46312028	191638063
46312028	97529977
47654567	388551155
48967362	311913498
48967362	68940123
4915814	186653415
49669986	108206610
50114359	229347739
50114359	283687321
50142094	254127882
50783368	205542738
50805790	70291150
50936650	376180369
52645592	234387032
52645592	372558966
530238	165455096
53034371	315643365
53457986	171877215
53667812	205032147
5369231	394658338
53692517	169497022
54860714	104492596
56011760	98656648
56818905	192196843
5708087	249026377
57679953	333028913
58399743	217054155
59520279	209497906
59556336	157378005
60380684	177801980
60380684	237223630
60380684	75293156
61432703	181930245
61432703	221058293
61432703	222415521
61432703	56593125
62263166	22181492
63220007	229076252
64019348	242959465
