user_id	item_id
107447408	73987982
16088923	48351263
111413851	233216799
43484740	88769
35335282	128936840
41558392	58422127
105315608	22480731
109092473	304417285
115856090	339290974
29194001	32460070
4087217	87437707
23730268	297853261
43386565	157002754
130118906	31950966
57269349	105679475
137640381	64688472
302466	390841005
136286592	190177818
50936650	209505061
47456582	311897576
32676559	110660239
115136933	48267628
133154036	372406579
51813809	43644196
52403660	328214734
106778951	231390479
3296164	332609190
121055447	147358654
58517586	136931663
63004058	351684132
18496468	122040531
128040189	266594444
130797629	62515998
141816551	385376939
111408175	298206428
3969118	389909635
121658987	165013592
4486844	190390494
115852613	163949624
1211491	136221535
131856122	244288893
112754899	364553524
127414902	331641796
50146084	242709260
134327445	235971452
132424760	168112890
5369231	118143895
18704425	387620564
55100099	393289214
110128897	49022358
131978114	114601359
19950899	62858944
64151780	265122669
135567210	23384815
52058492	211956128
30354420	335205653
40387240	263771034
5369231	248734481
40406632	324232322
12215373	232789701
118822821	758746
131566256	20212861
142191573	3892822
12546384	336052094
50936650	99485837
45585239	16633053
1211491	185885990
121575080	64739112
113579729	245479656
103490614	79590796
120305341	377607849
34792318	295729767
24472810	36435458
136903092	27791500
25737649	399577345
137507730	85930257
134891106	149953363
120305341	66795195
118733970	134877587
49669986	164163019
46230335	230108606
40528453	361357012
116523407	119930041
122132057	93554582
110948224	114815257
3313048	149387006
110068303	367866845
49669986	367180865
26748949	1399779
134891106	203497564
48362340	270145097
130127033	109273730
64043492	291519708
111124222	301264350
137507730	153684026
108485978	372379255
123584195	90617674
23579299	3019336
134669262	57175645
131856122	90926430
131856122	250371224
37928819	28855806
121658987	240657308
125853708	180905799
127916115	117586208
5778173	284391369
12405354	201268304
44754434	72173655
138796450	92556188
42096946	5577451
142159824	179625206
13709817	56872257
112619968	137709216
119412768	32999183
134891106	284874793
32679361	135707416
3320605	215243753
35520386	294911787
23688622	6713710
127916115	66944025
122132057	169893052
122645273	33222349
116159885	318639641
2048794	252564781
124956647	318429642
120305341	156297357
115537643	40806602
17562880	397385654
26412532	267394734
13344675	195140715
114241355	13404123
5708087	298172271
137358666	161591464
133613021	356737289
141885545	331468318
34792318	195895922
135567210	177729634
130205933	143509148
121883405	19208949
102415156	157132568
12215373	126964557
113579729	172476347
161481	339030565
22259706	47210092
54594113	40554502
132541898	109670269
48362340	154168523
39361112	287860262
12506484	356582541
116939540	295600442
62164715	72666736
63623282	184439581
127720662	43525916
48790890	338727776
109041596	331825335
26225677	141698012
11391297	177141180
49756956	330807277
107143838	226515608
135235563	81392053
14021211	155779204
137758701	324415077
43484740	222614344
54594113	311628528
32679361	214874577
53091371	366925286
111124222	240980648
51318043	99705326
109092473	343257455
33635794	94474707
29499215	160186502
102681517	228557299
42793246	330687918
55100099	110326453
55693229	364443976
135567210	394535644
18176035	282958866
128753499	192686559
54915080	136444548
22545810	31257259
16088923	212508599
42096946	35171962
126376929	116212666
3320605	372333326
35335282	143149727
122357858	115348056
106778951	71743660
137515335	104821990
63623282	224619571
140299709	159271456
40165705	96344731
29499215	229577843
108485978	349007012
112679713	25273904
54041681	398329798
133474868	106684149
131856122	305340269
20231406	286026539
19170635	300930741
106290839	238503124
60956726	341849097
62969888	84141319
17465512	337991080
100442521	87030081
122357858	310608572
114370733	388998815
135567210	206939541
130797629	277005696
105792755	382358582
137393502	225355827
54893456	345453293
46312028	223740290
121055447	238662769
132626507	297242296
121055447	335309109
52941182	29182026
142226949	72604245
135378246	228836179
40528453	323671166
103215328	96133896
119398002	147826354
114709109	400224907
58517586	314069950
138560071	197224114
115669976	153313335
2961442	351334128
140020931	154687874
125172545	152569820
100397503	43249679
116340014	265274856
114099881	333028913
48790890	212379175
54041681	156394710
53091371	393241946
16407724	310028746
10820115	195006287
46312028	158213442
131856122	295026309
112141018	186834589
17562880	42957798
43205692	290460337
119035722	189043999
106290839	79123700
112896793	167727120
4915814	186653415
32904799	85739281
36276632	300930741
3408454	22565309
106346810	258826379
17562880	392337274
58517586	44829719
18249259	80411699
121883405	401061336
63623282	273516989
317091	246156948
46312028	150996707
40387240	202913853
53091371	295303738
5369231	56559040
15389083	160048183
28785719	94006542
39329021	240152909
110948224	135602311
30009492	196793876
15389083	300703107
127485435	263775035
48593295	245160551
136286592	80879351
116159885	384236071
135567210	384592201
108318200	144916954
113579729	105207520
120306985	217452401
130797629	187633154
25337005	86839801
102681517	394414006
142226949	232025276
161481	46870795
32307529	12280221
110948224	283181432
121262927	190239402
107266523	365292486
22743681	289224658
135378246	166713
39329021	328376598
39329021	262546497
23396077	326747610
18496468	323820457
111413851	113752949
64047083	374890725
101680957	232724685
127414902	141412895
22545810	77034274
49444128	352882725
34756237	187699550
1390654	268612485
10820115	114928735
135660702	257865990
132755942	303334398
35520386	274601157
101823100	80784169
115537643	357213564
12215373	383518258
15670219	341690127
50783368	374214353
116592686	353079196
12073638	106304028
46312028	191638063
128912448	388682706
49221063	39475027
111408175	357999879
111311287	307935920
25737649	336145229
132424760	117944360
44754434	372506282
12546384	229343937
56818905	192196843
103582819	190639367
122986796	362586746
14667526	34585615
116909354	254026670
46539368	32544352
36375425	81831855
34125247	96345198
43205692	219386888
26491468	342884796
112658053	239896170
49669986	380616728
54594113	165101425
62217770	23910063
5525891	264951212
21350082	280855376
35520386	152852276
50936650	376180369
22094658	62646555
110946571	180858233
137490870	38600045
62844941	47909770
53976869	43508009
118646943	229481967
61432703	221058293
62622437	167766671
132506225	332946844
132541898	263657659
133474868	370557305
115594814	26701705
25573066	133186015
5369231	118886222
11436462	377135593
107447408	328689347
128148624	303864881
110083351	247894787
110128897	271824339
49711251	369941663
112647019	144386065
48790890	175815755
121575080	80071188
106655468	101921891
137758701	162990089
137525448	376999872
54041681	146662167
25528858	309975817
59556336	109257437
138589540	174835198
110948224	193013792
142191573	397670044
59472933	115152156
111408175	388002533
103823974	200237852
132236660	151259138
16407724	325164047
122132057	48155789
48967362	311913498
317091	71656329
57269349	40373908
21060159	185485928
130797629	68698676
127919298	323349755
137525448	88196283
48195330	215402213
132626507	372827713
125461376	328527193
11984838	80233719
25068286	294122948
120305341	230735725
36898583	92947565
122132057	287293423
138251589	88338750
1211491	170044680
20612499	336941305
12853122	377277166
34125247	259063296
5311010	46858181
57380691	303002557
120660040	53778469
128311074	161892909
110948224	370395691
3296164	217787681
32340313	364089585
28708550	234841373
134979525	291999497
121055447	234648388
29684399	8816162
37928819	171632192
105906755	167822567
127414902	196798986
11391297	129050884
114099881	59009689
142014633	254836176
33253837	74662588
129965187	92299102
32060788	195624962
132541898	177123787
110948224	79458119
122531057	384747763
106159385	13371324
131856122	165544421
128283555	398414001
134979525	338630082
53976869	190499766
22099113	234949882
3444136	174635395
140342846	89168909
12952941	254429075
44691722	31258704
102784585	54928562
48790890	183140813
12215373	172288098
131395085	321599479
122132057	387082283
15033334	74207546
48790890	45570311
6264206	75310164
49024095	336012447
107143838	103703218
51324109	190939998
46312028	46214666
22545810	156049049
135249894	39554131
118733970	340284510
54761921	102624623
131978114	262894749
35687702	282734411
50845861	320105129
64019348	242959465
102784585	347221497
32340313	301947157
106290839	81889739
42096946	347300442
128441868	382417631
51004531	178721544
137758701	360671169
111413851	330637138
12506484	206741647
110128897	287227617
28865588	291640226
60958037	167074648
18366415	343379370
25337005	238673856
106290839	292666180
48790890	273211825
135378246	379249019
103490614	236331085
23730268	206516739
122132057	27173442
130821785	286297354
4498439	74977824
42096946	249690939
25108597	113663275
105906755	63840223
20625528	162222583
46312028	322584815
40528453	319719400
44218451	98181868
2048794	199187082
25573066	105753567
447828	206016051
142159824	88043403
135378246	112189655
23688622	256729889
13642146	121202907
109092473	238721172
51813809	387374549
135378246	400701289
45334496	355460673
30404274	260512685
24870148	318463262
27317801	308393794
63900632	102100558
106290839	115432633
35323402	219879600
46312028	377313000
105679988	109342854
118509390	309984252
37982180	374030602
135378246	190621528
50142094	49242654
134669262	225396370
2636701	202125271
22545810	271590288
110948224	332111433
32307529	118576119
34452439	60906192
18176035	105208301
105906755	95296895
110216161	352912570
57380691	221011779
48378951	132319165
